,i_1C (A),rp_neg (m),Eeq_side (V),kappa_film (S/m),epsl_neg,Dl_elect (m^2/s),Ds_neg (m^2/s),i0ref_neg (A/m^2),E_min (V),i0_SEI (A/m^2),csmax_neg(mol/m^3),cl_0(mol/m^3),t_plus,i0ref_metal (A/m^2),sigma_neg,SEI_thickness(m),Capacity loss (%)
1160,2.724742704,5.9688e-06,0.206621177,5.487e-05,0.309474058,7.24071e-10,3.25e-14,2.073706319,0.035546353,1.16179e-06,32018.17769,1067.312663,0.292990824,80.64307658,53.67999133,3.78212e-11,0.89338229
1161,0.178009132,8.81111e-06,0.262478669,4.61029e-05,0.397152321,5.68315e-10,1.52e-14,1.88602028,0.056843242,8.9718e-07,31601.94342,1033.788173,0.38856627,79.92685794,62.87554987,1.07704e-09,0.746056873
1162,3.91411634,7.0764e-06,0.152080537,0.000177809,0.276465475,2.00321e-10,8.58e-14,3.042974254,0.069274726,5.05346e-07,31870.33732,1182.278742,0.419502096,68.79358996,81.39549608,2.79143e-12,0.903256353
1163,4.657352026,5.48836e-06,0.006153184,0.000121906,0.311901563,4.59939e-10,2.88e-14,1.94427314,0.064137157,9.61718e-07,32503.23449,1111.876458,0.353970445,91.97775116,80.26710513,2.23802e-13,1.293982378
1164,1.881251101,8.66278e-06,0.294915279,8.81308e-05,0.320227071,2.13951e-10,9.32e-14,2.004006379,0.017129856,2.11144e-07,29864.16246,1090.191992,0.427190998,87.80642855,80.6249664,6.21996e-11,0.736126365
1165,5.343682418,9.31325e-06,0.257986171,4.13092e-05,0.27821678,4.89487e-10,3.78e-14,2.412511816,0.054001299,6.82269e-07,31980.55907,1116.302981,0.310703773,61.36246496,80.93459251,3.50229e-11,2.38214325
1166,0.345692075,3.44787e-06,0.192617364,0.000166203,0.362224032,5.0716e-10,7.21e-14,0.632002346,0.095739968,9.82937e-07,29027.27687,1115.113667,0.409055989,56.52265112,58.77493901,3.66793e-11,0.97902286
1167,6.251058726,1.80594e-06,0.247178178,0.000225329,0.322080878,3.11703e-10,3.1e-14,0.431383178,0.010759328,1.77778e-07,30447.96178,1062.618407,0.288811643,69.27732117,76.0209894,7.33339e-12,0.681987284
1168,1.229363786,8.60204e-06,0.264768784,0.000219028,0.230842903,7.3494e-10,8.88e-14,2.14845904,0.029484652,1.00065e-06,31893.43559,1193.866955,0.303865928,64.88763474,99.86194206,2.79931e-10,0.593109882
1169,0.74236482,5.38024e-06,0.307296775,0.000195158,0.231249055,3.59349e-10,8.93e-14,1.293579306,0.025625653,1.46276e-06,29792.66088,1169.731513,0.288865142,92.78250194,58.21422267,1.51643e-09,0.832659228
1170,2.325516569,8.25094e-06,0.392060745,0.0001274,0.361426662,4.84083e-10,2e-14,2.893254348,0.077298105,7.51376e-07,31756.74108,1126.937698,0.309960956,93.23197507,96.91066641,3.85958e-10,3.222650437
1171,0.496213632,3.73589e-06,0.354577609,0.000217671,0.30470795,1.53976e-10,4.91e-14,3.557941806,0.085723644,3.26616e-07,32426.43998,1029.92554,0.30909645,93.41546657,71.07249836,3.31365e-10,0.965968351
1172,1.581511685,1.46426e-06,0.006872207,0.000132921,0.302849635,2.51219e-10,1.92e-14,0.799334335,0.053094032,9.63147e-07,31467.16747,1011.196858,0.37675882,52.33234115,86.86405035,7.11214e-13,0.476870988
1173,3.338623319,9.85359e-06,0.00762446,0.000183647,0.391683752,3.33809e-10,5e-14,3.226953406,0.067407804,1.23862e-06,31572.44043,1031.451852,0.425128753,95.07468342,92.12735814,3.16336e-13,1.852875915
1174,5.153214977,4.95935e-06,0.123573743,0.000212684,0.343538073,6.85658e-10,4.36e-14,2.729596019,0.015218675,9.09922e-07,31376.42187,1121.888329,0.286361457,75.29702929,86.86101279,2.69403e-12,0.920589263
1175,1.823846581,3.7299e-06,0.122354242,0.000223231,0.283319345,5.39033e-10,2.77e-14,2.880132654,0.055360095,1.35465e-06,29289.04824,1153.947586,0.321534964,50.27957576,51.11617765,9.74434e-12,0.633228851
1176,1.671457845,1.52692e-06,0.047342947,0.000118576,0.308008857,2.15268e-10,7.5e-14,1.652832487,0.016889431,1.14752e-06,29894.15376,1029.873653,0.37921638,67.57201814,83.67113821,1.80754e-12,0.477308952
1177,2.792289195,6.26393e-06,0.103164946,0.000165136,0.271980933,3.36067e-10,5.37e-14,1.046566341,0.094486822,4.37108e-07,30940.59839,1026.668747,0.42931878,89.07609969,83.87077475,3.90357e-13,1.532794869
1178,1.244346384,1.80717e-06,0.348757545,0.000190946,0.288791748,2.38104e-10,4.67e-14,1.760185289,0.06153824,3.53864e-07,30576.04797,1019.892681,0.311625634,68.96387932,88.63701796,4.65073e-10,0.758684297
1179,0.7853088,8.20388e-06,0.271607337,0.000125048,0.230382787,6.40974e-10,9.02e-14,3.569077387,0.038507772,2.88489e-07,29528.49817,1180.867392,0.273945146,95.84375134,92.33715491,1.27016e-10,0.574852779
1180,5.536052862,5.10635e-06,0.387197672,6.21001e-05,0.370792679,1.79854e-10,3.29e-14,3.554623597,0.044357695,7.92155e-07,32119.77906,1061.520557,0.376260719,89.43987354,63.47594901,5.11464e-10,1.322458869
1181,0.686222016,3.33723e-06,0.092804335,0.000111831,0.363318532,4.05452e-10,7.7e-14,3.004744161,0.009376753,1.25731e-06,29848.52676,1077.485697,0.329010868,55.09029446,81.81204281,1.12022e-11,0.483628906
1182,2.60965526,1.76638e-06,0.1282746,9.43679e-05,0.331433669,5.40596e-10,4.46e-14,2.220295069,0.098904308,5.39798e-07,30694.39468,1176.420158,0.260565454,74.92674081,97.39985667,7.05664e-13,0.933685397
1183,2.281011015,1.37682e-06,0.240595306,0.000125198,0.247874959,6.9985e-10,5.42e-14,1.930956535,0.09068986,1.21351e-06,30802.67142,1175.303471,0.400716841,57.82777745,64.03431818,2.46831e-11,0.900734074
1184,0.453481864,2.61311e-06,0.326484495,0.000185106,0.239403414,4.68411e-10,5.54e-14,1.430278844,0.041249981,1.25921e-06,29390.77895,1004.632037,0.264795026,53.19252436,59.4141963,3.01468e-09,1.859863079
1185,1.836285599,9.29419e-06,0.16905945,7.40916e-05,0.273121536,4.25571e-10,1.23e-14,3.038833148,0.024894469,1.35723e-06,32608.20631,1099.756756,0.406486796,71.57669636,78.38963596,3.14209e-11,2.189906004
1186,3.911382964,6.72789e-06,0.032522048,0.000183744,0.319224878,3.71362e-10,7.4e-14,2.373217693,0.060412656,1.03995e-06,32244.51928,1107.14716,0.295076498,50.51625119,71.64351998,5.23478e-13,0.857448711
